code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders
850,华茂股份,纺织,安徽,121.59,9.43,9.44,822781.69,149037.38,175994.95,2107.6,0.02,0.025,5.13,0.8,19981007,142415.48,1.51,23.73,-61.66,10.1,1.45,47449.0
589,黔轮胎Ａ,汽车配件,贵州,0.0,7.75,7.75,960869.19,449344.81,364261.06,183544.38,2.37,-0.017,4.6,0.89,19960308,69972.65,0.9,23.66,-289.21,8.23,-0.26,64881.0
521,美菱电器,家用电器,安徽,26.78,8.02,10.45,1638303.0,1397580.13,126194.47,268531.75,2.57,0.115,4.93,0.83,19931018,102564.38,0.98,31.83,-27.27,17.68,0.91,61867.0
300484,蓝海华腾,电气设备,深圳,24.04,0.94,2.08,103367.36,90467.02,3893.34,8232.95,0.4,0.514,3.29,5.0,20160322,35972.95,1.73,2.54,0.94,39.27,24.14,15890.0
2766,索菱股份,汽车配件,深圳,36.37,1.73,4.22,276379.13,155635.13,41662.2,91269.07,2.16,0.256,4.37,2.84,20150611,45030.46,1.07,51.3,77.82,31.86,11.29,30029.0
601008,连云港,港口,江苏,603.73,10.15,10.15,715755.5,67262.67,537719.44,161476.69,1.59,0.005,3.15,1.32,20070426,43345.44,0.43,6.95,-28.46,24.07,0.56,123253.0
652,泰达股份,批发业,天津,70.28,14.74,14.76,3378736.5,2645865.0,43595.26,68522.28,0.46,0.044000000000000004,2.41,1.72,19961128,99185.38,0.67,20.09,-8.37,3.11,0.54,104688.0
601288,农业银行,银行,北京,6.33,2940.55,3247.94,2092311808.0,0.0,15218899.0,9877300.0,0.3,0.493,4.08,1.02,20100715,56666600.0,1.74,5.76,3.79,0.0,39.18,357646.0
695,滨海能源,供气供热,天津,0.0,2.22,2.22,148687.52,64788.76,74030.65,7608.35,0.34,-0.034,1.44,5.78,19970218,92.67,0.0,48.73,-9.63,7.7,-1.32,15778.0
2443,金洲管道,钢加工,浙江,30.57,5.03,5.21,329408.0,202781.56,74427.4,77365.81,1.49,0.205,3.98,2.1,20100706,69717.86,1.34,50.43,151.02,10.81,4.0,57270.0
603017,中衡设计,建筑施工,江苏,23.92,2.73,2.75,258573.02,127593.92,37910.87,99964.13,3.63,0.4,6.02,2.08,20141231,35336.59,1.28,43.58,33.75,24.78,12.88,15224.0
600208,新湖中宝,全国地产,浙江,15.62,85.98,85.99,12688068.0,8872464.0,22791.05,801022.44,0.93,0.201,3.61,1.16,19990623,1334704.63,1.55,7.06,149.18,18.41,18.56,117511.0
300531,优博讯,软件服务,深圳,64.88,1.22,2.8,80558.56,67624.53,1013.07,2743.65,0.1,0.145,2.1,5.98,20160809,27088.05,0.97,32.22,9.03,37.43,14.5,22845.0
300627,华测导航,通信设备,上海,54.82,0.3,1.23,95269.3,88869.28,2105.35,37333.87,3.03,0.59,5.9,6.44,20170321,19288.67,1.56,0.0,0.0,54.56,14.97,15444.0
541,佛山照明,家用电器,广东,11.9,9.75,12.72,586335.06,332670.34,46769.51,28582.14,0.22,0.5329999999999999,3.87,2.19,19931123,170885.11,1.34,14.56,142.24,21.78,23.0,92189.0
2133,广宇集团,全国地产,浙江,19.09,6.35,7.74,836184.69,772784.94,1786.75,83393.5,1.08,0.16699999999999998,3.73,1.14,20070427,109705.97,1.42,-23.35,-19.53,13.78,5.03,49091.0
